RespondentID;Microbacia
3243514174;Turvo
3243507137;Turvo
3243501122;Turvo
3243491273;Turvo
3243481247;Turvo
3243451046;Turvo
3243443372;Turvo
3243433396;Turvo
3243424851;Turvo
3243422278;Turvo
3243415187;Turvo
3243393085;Jaguari
3243382302;Jaguari
3243372427;Jaguari
3243361603;Jaguari
3243337282;Jaguari
3243312480;Jaguari
3243299888;Jaguari
3243291547;Jaguari
3243262837;Jaguari
3243218726;Jaguari
3243191894;Jaguari
3243181057;Jaguari
3243129583;Rural Sul
3243111109;Rural Sul
3243094088;Rural Sul
3243079010;Rural Sul
3243067786;Rural Sul
3243046321;Rural Sul
3243031763;Rural Sul
3242994277;Rural Sul
3242979528;Rural Sul
3242970774;Rural Sul
